marker_index,x_location,y_location,company,region,amounts,technology,raw_text_length
0,968,346,Filter Industry Inc,,,,575
1,968,398,Filter Industry Inc,,,,575
2,968,452,Filter Industry Inc,,,,575
3,968,504,Filter Industry Inc,,,,575
4,968,558,Filter Industry Inc,,,,575
5,33,804,Filter Industry Inc,,,,575
6,620,806,Filter Industry Inc,,,,575
7,660,806,Filter Industry Inc,,,,575
8,700,806,Filter Industry Inc,,,,575
9,736,808,Filter Industry Inc,,,,575
10,822,806,Filter Industry Inc,,,,575
11,827,812,Filter Industry Inc,,,,575
12,873,806,Filter Industry Inc,,,,575
13,911,806,Filter Industry Inc,,,,575
